repo_name,total_token_count,total_code_lines_count,total_function_count,total_class_count,total_import_count
zachwill___moment,3747,432,60,3,20
zestyping___q,3083,325,25,5,15
sublee___glicko2,1614,145,14,3,5
gnebehay___parser,816,113,11,2,7
liamja___Prebake,638,68,9,0,12
ActiveState___appdirs,2758,308,19,1,13
yaleimeng___Final_word_Similarity,6253,459,34,6,9
Alir3z4___python-short_url,877,91,16,2,1
pyannote___pyannote-core,28089,2955,247,17,137
suminb___base62,757,87,7,1,2
hmleal___py-clui,809,98,18,4,7
ArturSpirin___pyPS4Controller,5646,547,114,6,13
alanhamlett___readtime,1358,164,16,2,12
skorokithakis___shortuuid,1458,155,17,2,25
bsolomon1124___demoji,1745,222,21,0,25
dbrgn___coverage-badge,1078,136,9,3,6
dirn___When.py,2881,312,29,2,15
dwyl___english-words,106,13,1,0,2
fastly___Avalanche,366,44,11,4,3
Hyun-je___pyrplidar,7094,576,62,19,12
nathanlct___reeds-shepp-curves,3722,355,34,3,14
necaris___cuid.py,1104,133,15,3,8
neural-dialogue-metrics___Distinct-N,507,58,4,1,4
olle___lz77-kit,4555,511,80,10,8
pyhackertarget___hackertarget,1343,157,2,0,4
ramazanpolat___prodict,2168,223,23,6,5
rdegges___brute,598,70,4,2,7
ross___requests-futures,1376,165,12,3,13
serge-sans-paille___gast,15370,1788,155,11,28
simon-weber___gpsoauth,2020,208,12,2,17
SirAnthony___slpp,2153,280,18,2,6
stephenbradshaw___hlextend,4812,272,22,4,3
dorkitude___dstruct,868,97,16,6,3
IlyaKrotov___BitMEX-simple-trading-robot,578,73,4,2,7
kevinwuhoo___randomcolor-py,1310,135,12,1,7
nytimes___rd-blender-docker,1177,116,2,0,9
sha256___python-var-dump,992,123,4,1,7
Yelp___ephemeral-port-reserve,274,37,2,0,12
SteinRobert___python-restcountries,1289,141,18,3,4
sbyrnes321___numericalunits,4892,363,5,1,7
saresend___KSUID,1208,141,20,1,15
AWegnerGitHub___stackapi,2264,255,6,3,18
jtauber___blockchain,1826,203,22,1,7
r-kan___semile,5630,551,67,9,14
DigitaleGesellschaft___Anonip,2634,355,21,2,14
emulbreh___pyffx,1084,113,19,6,13
pe-st___garmin-connect-export,12411,855,47,3,29
lionheart___pinboard.py,2421,278,26,12,24
tdda___applehealthdata,1359,157,15,1,9
alecthomas___voluptuous,12186,1547,184,73,41
comadan___FM_FTRL,2525,245,12,1,10
drewkerrigan___nagios-http-json,4825,512,33,3,8
dogsheep___swarm-to-sqlite,2362,273,9,0,12
lukaskubis___darkskylib,1118,121,17,6,9
jantrienes___nereval,905,99,12,0,6
jeffbuttars___cowpy,6985,595,40,23,8
jundymek___free-proxy,941,99,7,3,5
nlitsme___pyidbutil,22311,2103,249,44,30
marteinn___The-Big-Username-Blocklist,2697,82,9,0,3
shinux___PyTime,4357,418,45,5,12
porimol___countryinfo,2059,230,29,4,9
patx___pickledb,1454,191,42,2,8
tikitu___jsmin,1700,206,9,2,5
tasdikrahman___vocabulary,2750,322,16,3,16
slomkowski___nginx-config-formatter,2487,268,20,2,8
troublegum___micropyserver,1824,221,19,1,5
edsu___microdata,1352,177,20,2,6
luno___luno-python,3694,402,44,3,13
mk-fg___pretty-yaml,4064,319,24,2,6
hegusung___AVSignSeek,2087,179,10,0,12
italorossi___ishell,3137,368,38,15,27
mike-grant___haaska,578,68,10,2,4
mozilla___unicode-slugify,693,81,3,1,8
ryancox___motionless,5382,524,36,11,25
jieter___python-lora,1114,120,8,2,12
Bogdanp___cursive_re,1593,182,36,16,5
peterjc___flake8-black,1409,163,8,2,8
naiyt___steamapiwrapper,3237,321,30,11,12
mpetazzoni___sseclient,804,98,6,3,3
tenthirtyone___blocktools,5421,593,28,5,8
disqus___python-phabricator,3867,453,36,7,26
barbosa___clorox,1725,204,21,8,10
sighalt___logdecorator,2109,187,20,12,15
mobify___iterstuff,767,98,12,2,9
lzakharov___csv2md,1179,116,10,3,8
imbal___safeyaml,5493,591,27,16,7
100___Solid,6651,714,72,8,26
pwaller___pyprof2calltree,2563,279,32,7,12
pglass___cube,11590,921,124,6,12
exentriquesolutions___nip.io,2489,279,24,1,7
dashea___requests-file,600,66,3,1,10
ppannuto___python-titlecase,1803,195,2,0,8
pdftables___python-pdftables-api,1427,156,14,3,6
riga___pymitter,2812,301,45,5,11
qedus___sphere,21132,2204,315,17,11
stepchowfun___theorem-prover,9721,1148,109,12,3
kevink1103___pyprnt,2088,204,9,1,7
zach-taylor___splunk_handler,2285,267,17,2,11
susam___mintotp,539,61,4,1,6
liviu-___ding,1074,117,12,1,9
average,3431,352,34,5,12
